"script","extension","bytes","last_write","status","authority","stale_path_hits","decision"
"legacy-meta/one-off-2026-07-15/debug_g2.py",".py","882","2026-07-15 01:46:17","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/enrich_batch2.py",".py","2834","2026-07-15 01:46:17","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/enrich_ch03.py",".py","1670","2026-07-15 01:46:17","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/enrich_wechat.py",".py","3020","2026-06-11 21:36:44","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/final_cleanup.ps1",".ps1","1056","2026-07-15 01:46:17","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/final_spot_check.py",".py","2074","2026-06-12 02:21:28","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/final_summary.py",".py","1855","2026-06-11 21:36:44","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/find_dups.py",".py","1169","2026-06-12 02:20:28","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/find_last2.py",".py","272","2026-07-15 01:46:17","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/fix_banned_cards.py",".py","2204","2026-06-11 21:36:44","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/fix_ch02_evidence.py",".py","4803","2026-07-15 01:46:17","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/fix_ch05_evidence.py",".py","6286","2026-07-15 01:46:17","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/fix_g5.py",".py","1240","2026-06-12 02:21:10","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/fix_remaining_g2.py",".py","3191","2026-07-15 01:46:17","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/fix_stragglers.py",".py","2405","2026-07-15 01:46:17","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/fix_thin_d9.py",".py","2544","2026-06-12 02:27:17","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/gen_wechat_234.py",".py","12808","2026-07-15 01:46:17","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/gen_wechat_5678.py",".py","10170","2026-07-15 01:46:17","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/gen_wechat_ch01.py",".py","7307","2026-07-15 01:46:17","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/repair_dedup_damage.py",".py","3105","2026-07-15 01:46:17","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/scan_low_quality.ps1",".ps1","3266","2026-07-15 01:46:17","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/scan_skills_v2.py",".py","3648","2026-07-15 01:46:17","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/scan_skills.py",".py","3692","2026-07-15 01:46:17","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/scan_strict.py",".py","3970","2026-07-15 01:46:17","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/spot_check_v2.py",".py","1934","2026-06-12 02:20:21","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/spot_check.py",".py","4656","2026-07-15 01:46:17","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/traffic_fix_r1.py",".py","3524","2026-06-11 21:36:32","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/traffic_fix_r3.py",".py","3172","2026-07-15 01:46:17","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/traffic_r2_eval.py",".py","1792","2026-06-11 21:36:32","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/traffic_r2b_eval.py",".py","2360","2026-06-11 21:36:32","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/traffic_review_r1.py",".py","5742","2026-06-11 21:36:32","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/weread_batch2.py",".py","2056","2026-07-15 01:46:17","blocked-sensitive","","0","pending-credential-rotation"
"legacy-meta/one-off-2026-07-15/weread_batch3.py",".py","2003","2026-07-15 01:46:17","blocked-sensitive","","0","pending-credential-rotation"
"legacy-meta/one-off-2026-07-15/weread_ev_v2.py",".py","2164","2026-07-15 01:46:17","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/weread_evidence_update.py",".py","2529","2026-07-15 01:54:08","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/weread_extract_top.py",".py","2438","2026-07-15 01:46:17","blocked-sensitive","","0","pending-credential-rotation"
"legacy-meta/one-off-2026-07-15/weread_extract_v2.py",".py","2574","2026-07-15 01:46:17","blocked-sensitive","","0","pending-credential-rotation"
"legacy-meta/one-off-2026-07-15/weread_highlights.py",".py","1136","2026-06-11 21:36:32","blocked-sensitive","","0","pending-credential-rotation"
"legacy-meta/one-off-2026-07-15/weread_map_to_v7.py",".py","2613","2026-07-15 01:46:17","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/weread_map_v2.py",".py","2012","2026-07-15 01:46:17","legacy-existing","","0","keep-legacy"
"legacy-meta/one-off-2026-07-15/weread_test.py",".py","874","2026-06-11 21:36:32","blocked-sensitive","","0","pending-credential-rotation"
"map-units-to-projects.ps1",".ps1","1151","2026-06-12 23:51:12","review-required","","0","pending"
"media_quality_scan.py",".py","3113","2026-06-12 02:38:05","review-required","","0","pending"
"migrate_top_level.ps1",".ps1","4313","2026-07-15 01:50:51","legacy-stale-paths","","18","pending"
"monthly_log_summary.py",".py","5723","2026-07-15 18:07:12","active","99-系统/日志/LOG_POLICY.md monthly maintenance","0","keep"
"qa_recheck.py",".py","2232","2026-07-15 01:46:17","review-required","","0","pending"
"rebuild_home.ps1",".ps1","2950","2026-07-15 01:48:03","legacy-candidate","","0","pending"
"rebuild_mocs.ps1",".ps1","4851","2026-07-15 18:23:20","active","HOME.md weekly maintenance","0","keep"
"repair_compound_path_replacements.ps1",".ps1","1397","2026-07-15 01:47:51","legacy-stale-paths","","4","pending"
"test_feishu.py",".py","1572","2026-07-15 01:46:17","blocked-sensitive","","0","pending"
"utility_audit.py",".py","2810","2026-06-12 02:27:05","review-required","","0","pending"
"wechat_audit.py",".py","1992","2026-07-15 01:46:17","review-required","","0","pending"
